credit_profile_id,customer_id,credit_score,credit_band,credit_history_years,existing_loans,total_outstanding,last_updated
8001,1001,573,Poor,7.5,1,434300,2025-03-05
8002,1002,640,Fair,5.5,1,490600,2025-06-26
8003,1003,610,Fair,4.9,0,191000,2025-04-03
8004,1004,598,Poor,4.1,1,335500,2025-05-03
8005,1005,524,Poor,1.1,1,490500,2025-01-15
8006,1006,697,Fair,1.0,1,1545500,2025-10-03
8007,1007,618,Fair,9.3,0,112000,2025-01-22
8008,1008,831,Excellent,5.1,1,824700,2025-09-23
8009,1009,764,Excellent,3.4,0,205400,2025-07-02
8010,1010,812,Excellent,10.6,1,1077100,2025-12-18
8011,1011,744,Good,8.4,1,81200,2025-05-17
8012,1012,646,Fair,13.8,0,280100,2025-01-31
8013,1013,714,Good,12.6,0,46500,2025-08-03
8014,1014,667,Fair,11.2,3,165800,2025-12-18
8015,1015,716,Good,2.8,1,195200,2025-11-26
8016,1016,757,Excellent,10.3,1,444000,2025-07-31
8017,1017,735,Good,10.7,1,73100,2025-08-15
8018,1018,691,Fair,11.7,2,1332600,2025-07-04
8019,1019,695,Fair,4.7,1,1557500,2025-03-16
8020,1020,706,Good,10.0,0,344700,2025-06-20
8021,1021,773,Excellent,9.7,1,91300,2025-08-20
8022,1022,653,Fair,6.4,0,83600,2025-03-15
8023,1023,671,Fair,10.3,1,327400,2025-09-10
8024,1024,652,Fair,2.2,0,147000,2025-10-25
8025,1025,700,Good,10.0,0,946700,2025-03-15
8026,1026,738,Good,9.5,0,221000,2025-08-17
8027,1027,712,Good,3.9,3,450600,2025-07-18
8028,1028,686,Fair,12.5,2,284700,2025-07-31
8029,1029,770,Excellent,13.2,3,184700,2025-03-25
8030,1030,630,Fair,3.9,1,151400,2025-07-19
8031,1031,578,Poor,2.1,0,106600,2025-05-25
8032,1032,714,Good,9.5,1,213700,2025-08-05
8033,1033,687,Fair,7.7,0,319000,2025-08-25
8034,1034,677,Fair,7.0,0,368700,2025-09-15
8035,1035,591,Poor,11.7,2,308700,2025-08-17
8036,1036,705,Good,14.6,0,251300,2025-10-25
8037,1037,825,Excellent,7.7,1,55400,2025-04-16
8038,1038,590,Poor,1.1,2,854600,2025-07-10
8039,1039,678,Fair,9.3,0,75400,2025-05-19
8040,1040,696,Fair,10.2,1,472700,2025-09-09
8041,1041,657,Fair,12.6,1,912100,2025-07-31
8042,1042,702,Good,3.8,1,881200,2025-05-07
8043,1043,656,Fair,8.3,0,616000,2025-09-06
8044,1044,702,Good,7.3,1,320800,2025-03-14
8045,1045,671,Fair,10.3,1,133100,2025-06-22
8046,1046,650,Fair,1.9,0,85200,2025-06-06
8047,1047,684,Fair,13.4,2,309900,2025-06-11
8048,1048,726,Good,8.2,2,162800,2025-04-05
8049,1049,573,Poor,13.3,0,189100,2025-12-12
8050,1050,742,Good,5.8,1,559000,2025-08-24
8051,1051,636,Fair,10.1,2,255000,2025-01-20
8052,1052,736,Good,14.4,2,152600,2025-03-13
8053,1053,640,Fair,14.2,2,4410600,2025-03-11
8054,1054,743,Good,14.2,0,221600,2025-07-19
8055,1055,686,Fair,1.6,1,605500,2025-07-02
8056,1056,620,Fair,6.6,2,560200,2025-11-04
8057,1057,657,Fair,1.9,0,206100,2025-01-25
8058,1058,780,Excellent,5.3,1,161200,2025-03-07
8059,1059,694,Fair,3.4,1,69000,2025-10-11
8060,1060,656,Fair,9.7,1,373900,2025-12-11
8061,1061,776,Excellent,11.9,3,309800,2025-10-03
8062,1062,754,Excellent,8.2,3,100800,2025-11-22
8063,1063,627,Fair,12.1,1,939600,2025-02-06
8064,1064,675,Fair,1.2,0,526400,2025-01-16
8065,1065,558,Poor,12.5,2,305500,2025-07-02
8066,1066,755,Excellent,3.5,0,215200,2025-12-22
8067,1067,690,Fair,7.5,0,247400,2025-09-13
8068,1068,740,Good,7.2,0,103600,2025-07-12
8069,1069,545,Poor,13.2,2,173900,2025-11-30
8070,1070,669,Fair,14.5,1,575200,2025-01-14
8071,1071,703,Good,4.6,0,259400,2025-01-24
8072,1072,531,Poor,1.9,3,2061400,2025-03-24
8073,1073,739,Good,10.1,1,174700,2025-10-21
8074,1074,666,Fair,8.0,0,277700,2025-08-24
8075,1075,558,Poor,8.9,0,462400,2025-12-04
8076,1076,651,Fair,1.6,2,525100,2025-09-22
8077,1077,724,Good,11.9,1,239100,2025-09-01
8078,1078,622,Fair,4.3,1,159200,2025-09-12
8079,1079,687,Fair,5.7,2,230000,2025-11-11
8080,1080,658,Fair,4.2,2,442600,2025-11-03
8081,1081,540,Poor,14.2,0,236600,2025-04-19
8082,1082,737,Good,3.4,0,2679500,2025-11-03
8083,1083,751,Excellent,11.3,1,231800,2025-10-02
8084,1084,776,Excellent,4.4,2,375200,2025-11-14
8085,1085,691,Fair,6.9,0,311400,2025-09-12
8086,1086,726,Good,14.9,2,248100,2025-09-02
8087,1087,569,Poor,2.4,2,660500,2025-09-23
8088,1088,708,Good,13.3,0,120700,2025-05-11
8089,1089,666,Fair,14.2,1,2526500,2025-05-25
8090,1090,684,Fair,10.8,0,163000,2025-12-09
8091,1091,606,Fair,1.1,1,460500,2025-08-07
8092,1092,774,Excellent,12.5,2,362900,2025-03-14
8093,1093,566,Poor,13.4,0,294700,2025-07-16
8094,1094,710,Good,14.7,0,985200,2025-03-24
8095,1095,621,Fair,12.8,2,1728900,2025-12-15
8096,1096,849,Excellent,7.2,1,148700,2025-09-28
8097,1097,742,Good,10.6,3,151400,2025-04-16
8098,1098,688,Fair,7.8,0,488700,2025-04-10
8099,1099,613,Fair,5.9,0,287200,2025-07-03
8100,1100,757,Excellent,9.8,0,191600,2025-11-28
8101,1101,450,Poor,11.8,0,232500,2025-03-19
8102,1102,719,Good,9.9,1,191500,2025-05-23
8103,1103,728,Good,12.6,0,109500,2025-04-05
8104,1104,724,Good,3.5,3,383300,2025-10-27
8105,1105,753,Excellent,6.2,0,314500,2025-01-03
8106,1106,648,Fair,5.4,1,199500,2025-02-16
8107,1107,731,Good,3.7,3,54100,2025-06-07
8108,1108,640,Fair,7.2,1,222500,2025-08-27
8109,1109,628,Fair,14.3,1,1750500,2025-09-25
8110,1110,613,Fair,8.5,1,222200,2025-09-28
8111,1111,671,Fair,5.0,1,228600,2025-01-28
8112,1112,773,Excellent,6.0,1,194200,2025-06-26
8113,1113,819,Excellent,9.6,1,523800,2025-03-28
