application_id,customer_id,application_date,loan_type,requested_amount,approval_status,rejection_reason
5001,4517,2023-12-22,Business,245500,Approved,
5002,2907,2025-09-13,Education,715600,Rejected,Incomplete Documents
5003,2263,2024-11-29,Personal,460400,Rejected,Low Credit Score
5004,1558,2024-11-26,Personal,383400,Approved,
5005,4363,2025-10-14,Personal,1877600,Pending,
5006,5162,2023-11-24,Home,149500,Approved,
5007,1290,2024-04-13,Business,954200,Approved,
5008,3275,2024-12-28,Personal,269500,Approved,
5009,4871,2024-10-18,Home,235400,Pending,
5010,4596,2024-01-13,Auto,495800,Approved,
5011,5271,2024-01-07,Education,2585100,Approved,
5012,4293,2025-02-06,Business,633500,Approved,
5013,4713,2023-11-22,Auto,1322800,Pending,
5014,1847,2024-04-11,Home,201000,Approved,
5015,3810,2025-10-21,Personal,619200,Approved,
5016,3318,2024-11-08,Personal,587200,Pending,
5017,3954,2024-06-21,Home,83800,Approved,
5018,5931,2023-10-08,Personal,1173600,Approved,
5019,3388,2024-09-19,Education,272100,Pending,
5020,3944,2024-05-11,Personal,1636900,Approved,
5021,5983,2023-02-27,Business,247400,Approved,
5022,2920,2024-03-04,Education,1658000,Approved,
5023,1859,2023-01-22,Auto,938700,Approved,
5024,2140,2023-09-26,Personal,3839200,Approved,
5025,2035,2024-08-31,Home,1196600,Approved,
5026,3947,2023-02-24,Business,562500,Rejected,Incomplete Documents
5027,1167,2024-07-21,Auto,1980800,Approved,
5028,3010,2024-02-14,Home,472100,Approved,
5029,3611,2024-05-04,Home,157300,Approved,
5030,2824,2023-04-26,Auto,302600,Approved,
5031,2972,2023-03-25,Personal,441100,Pending,
5032,1328,2023-10-21,Home,1207000,Approved,
5033,4597,2025-08-27,Home,564200,Approved,
5034,1821,2024-04-11,Personal,866500,Approved,
5035,4893,2024-04-09,Education,687500,Rejected,Insufficient Income
5036,5495,2023-04-18,Home,881800,Rejected,Incomplete Documents
5037,5533,2024-07-18,Auto,392800,Rejected,Incomplete Documents
5038,4193,2024-01-18,Home,281900,Approved,
5039,3858,2025-03-01,Education,545100,Rejected,Low Credit Score
5040,5893,2023-06-09,Business,1090200,Approved,
5041,3779,2023-08-18,Personal,518000,Approved,
5042,3683,2024-06-15,Auto,398700,Approved,
5043,5622,2024-01-25,Personal,584100,Pending,
5044,1489,2025-10-23,Business,387500,Approved,
5045,2789,2023-11-25,Personal,1062100,Approved,
5046,5846,2023-02-02,Personal,515000,Pending,
5047,2391,2025-07-20,Personal,1315700,Approved,
5048,2339,2025-04-11,Home,748900,Rejected,Insufficient Income
5049,2134,2024-01-31,Home,334500,Approved,
5050,3922,2024-12-02,Personal,285400,Approved,
