loan_id,application_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,tenure_months,loan_start_date,loan_end_date,loan_status
9001,5001,4517,146,Business,232800,9.27,180,2024-01-14,2038-10-27,Active
9002,5004,1558,147,Personal,319200,8.85,120,2024-12-26,2034-11-04,Active
9003,5006,5162,142,Home,148200,15.0,12,2023-12-11,2024-12-05,Active
9004,5007,1290,122,Business,762100,12.41,48,2024-04-23,2028-04-02,Active
9005,5008,3275,124,Personal,229500,11.59,84,2025-01-27,2031-12-22,Closed
9006,5010,4596,120,Auto,390400,7.41,48,2024-01-19,2027-12-29,Active
9007,5011,5271,150,Education,2085000,9.39,84,2024-01-24,2030-12-18,Active
9008,5012,4293,120,Business,491900,8.05,12,2025-03-04,2026-02-27,Active
9009,5014,1847,150,Home,156300,8.36,240,2024-05-08,2044-01-24,Active
9010,5015,3810,117,Personal,561700,9.23,36,2025-11-18,2028-11-02,Default
9011,5017,3954,102,Home,79300,8.15,60,2024-07-19,2029-06-23,Closed
9012,5018,5931,146,Personal,904000,14.65,36,2023-10-15,2026-09-29,Default
9013,5020,3944,134,Personal,1318200,7.72,180,2024-05-20,2039-03-03,Active
9014,5021,5983,138,Business,205400,14.3,60,2023-03-13,2028-02-15,Closed
9015,5022,2920,116,Education,1631800,11.07,120,2024-04-03,2034-02-10,Closed
9016,5023,1859,139,Auto,844400,8.33,36,2023-01-27,2026-01-11,Closed
9017,5024,2140,127,Personal,2982400,11.48,36,2023-10-06,2026-09-20,Active
9018,5025,2035,104,Home,1008100,14.32,24,2024-09-12,2026-09-02,Closed
9019,5027,1167,118,Auto,1839800,14.56,60,2024-07-30,2029-07-04,Default
9020,5028,3010,110,Home,469500,10.02,84,2024-02-27,2031-01-21,Default
9021,5029,3611,102,Home,147000,12.7,24,2024-06-03,2026-05-24,Closed
9022,5030,2824,118,Auto,240700,7.56,24,2023-04-29,2025-04-18,Default
9023,5032,1328,131,Home,1152400,11.24,84,2023-11-11,2030-10-05,Active
9024,5033,4597,136,Home,423600,8.93,48,2025-09-12,2029-08-22,Active
9025,5034,1821,140,Personal,754400,9.54,48,2024-05-05,2028-04-14,Active
9026,5038,4193,126,Home,235700,10.94,60,2024-01-21,2028-12-25,Active
9027,5040,5893,143,Business,1075600,14.77,180,2023-07-08,2038-04-20,Closed
9028,5041,3779,112,Personal,394400,14.0,48,2023-09-16,2027-08-26,Closed
9029,5042,3683,103,Auto,324500,10.25,84,2024-07-09,2031-06-03,Active
9030,5044,1489,138,Business,315800,11.06,240,2025-11-15,2045-08-02,Default
9031,5045,2789,130,Personal,909000,14.43,12,2023-12-23,2024-12-17,Active
9032,5047,2391,136,Personal,1290500,7.7,84,2025-08-04,2032-06-28,Closed
9033,5049,2134,118,Home,305500,13.6,36,2024-02-23,2027-02-07,Closed
9034,5050,3922,113,Personal,222700,8.44,84,2024-12-11,2031-11-05,Active
9035,5051,5652,103,Home,136300,9.37,84,2023-11-08,2030-10-02,Closed
9036,5052,3457,104,Personal,662000,8.85,36,2025-04-10,2028-03-25,Closed
9037,5053,4163,112,Personal,345300,11.69,48,2023-06-08,2027-05-18,Closed
9038,5054,1239,147,Personal,455400,8.95,84,2024-04-14,2031-03-09,Active
9039,5055,5413,111,Personal,271800,10.88,60,2024-08-28,2029-08-02,Default
9040,5056,1770,111,Personal,503300,7.22,48,2023-12-20,2027-11-29,Active
9041,5057,3127,143,Personal,195800,9.69,36,2024-07-11,2027-06-26,Closed
9042,5059,5426,145,Home,463600,13.04,24,2025-01-18,2027-01-08,Active
9043,5061,4779,147,Business,940900,10.7,180,2023-03-25,2038-01-05,Active
9044,5063,3949,121,Personal,48900,14.0,240,2023-09-30,2043-06-17,Active
9045,5064,2694,123,Personal,3827200,10.91,48,2025-05-06,2029-04-15,Active
9046,5066,4134,147,Education,1553400,14.45,48,2025-03-20,2029-02-27,Closed
9047,5071,3803,117,Business,336200,10.35,60,2023-10-17,2028-09-20,Default
9048,5072,2125,101,Personal,1840000,10.07,48,2023-12-31,2027-12-10,Active
9049,5073,2249,138,Personal,656800,9.18,180,2025-12-07,2040-09-19,Closed
9050,5074,1555,132,Personal,537300,10.93,24,2024-04-15,2026-04-05,Closed
9051,5075,2389,107,Personal,499200,14.06,60,2025-08-28,2030-08-02,Closed
9052,5076,1415,114,Home,309400,13.07,180,2025-11-18,2040-08-31,Closed
9053,5077,4648,101,Education,381800,8.47,48,2025-08-01,2029-07-11,Active
9054,5078,1840,138,Personal,2090800,14.87,12,2023-08-25,2024-08-19,Active
9055,5080,1656,150,Personal,1477000,10.8,60,2024-01-03,2028-12-07,Closed
9056,5081,2656,109,Personal,216100,8.89,60,2024-06-06,2029-05-11,Active
9057,5082,5873,130,Business,257700,14.98,240,2023-07-26,2043-04-12,Active
9058,5083,1979,134,Personal,770700,10.75,36,2024-01-28,2027-01-12,Closed
9059,5084,1551,126,Personal,301200,8.48,36,2023-11-28,2026-11-12,Closed
9060,5085,1300,117,Personal,571500,14.0,48,2023-04-10,2027-03-20,Closed
9061,5086,2321,122,Business,242000,11.25,60,2024-07-18,2029-06-22,Active
9062,5089,4980,143,Personal,773300,8.67,240,2024-12-29,2044-09-15,Closed
9063,5093,1422,119,Personal,149900,12.78,48,2023-05-16,2027-04-25,Active
9064,5095,2974,113,Business,1453500,15.35,240,2024-09-21,2044-06-08,Active
9065,5097,4747,116,Auto,118600,7.72,120,2024-11-26,2034-10-05,Active
9066,5098,2704,144,Personal,185500,10.69,60,2024-05-23,2029-04-27,Active
9067,5099,5646,128,Personal,666500,11.36,24,2025-01-20,2027-01-10,Closed
9068,5100,5025,141,Personal,958800,12.62,84,2024-07-06,2031-05-31,Active
9069,5102,4684,140,Personal,508300,8.94,120,2025-07-06,2035-05-15,Active
9070,5104,2711,146,Home,209200,8.57,48,2025-06-30,2029-06-09,Active
9071,5106,1684,118,Personal,4812200,13.31,120,2025-07-07,2035-05-16,Active
9072,5109,3489,141,Education,1375300,12.69,36,2024-08-21,2027-08-06,Active
9073,5110,4130,112,Business,1703600,9.09,84,2023-09-23,2030-08-17,Active
9074,5111,2792,117,Personal,1344000,7.48,180,2025-11-13,2040-08-26,Active
9075,5112,2818,147,Auto,982600,13.8,12,2025-02-15,2026-02-10,Closed
9076,5114,4168,119,Auto,208000,12.8,84,2023-08-25,2030-07-19,Closed
9077,5116,5558,142,Home,1373300,14.48,240,2024-12-27,2044-09-13,Active
9078,5117,5725,136,Business,226900,7.57,120,2025-05-26,2035-04-04,Closed
9079,5118,1752,137,Auto,198500,11.14,60,2025-12-29,2030-12-03,Active
9080,5119,4427,139,Auto,318400,8.36,120,2024-12-05,2034-10-14,Closed
9081,5121,1308,119,Auto,324400,12.74,84,2024-03-25,2031-02-17,Active
9082,5122,2869,144,Personal,344600,9.12,240,2024-04-14,2043-12-31,Default
9083,5123,1303,124,Home,931900,9.23,84,2025-03-29,2032-02-21,Closed
9084,5124,1712,127,Home,381800,13.08,84,2025-06-21,2032-05-15,Active
9085,5125,1526,137,Personal,300600,14.01,180,2024-08-31,2039-06-14,Active
9086,5126,5143,101,Auto,67700,14.74,36,2024-03-20,2027-03-05,Active
9087,5127,1760,137,Personal,1484900,7.66,36,2025-01-29,2028-01-14,Closed
9088,5128,5702,148,Personal,344600,13.86,180,2025-01-18,2039-11-01,Active
9089,5129,3547,120,Auto,1383800,15.26,180,2024-11-14,2039-08-28,Active
9090,5133,3419,145,Business,85300,7.45,84,2025-05-22,2032-04-15,Active
9091,5135,4666,126,Auto,334200,14.75,24,2025-05-07,2027-04-27,Active
9092,5136,1070,139,Business,390400,15.11,120,2025-12-28,2035-11-06,Active
9093,5137,3926,103,Auto,622200,8.63,180,2023-09-24,2038-07-07,Active
9094,5138,5082,112,Home,1579600,9.62,120,2025-04-10,2035-02-17,Closed
9095,5140,1135,133,Home,147400,9.54,36,2023-09-27,2026-09-11,Closed
9096,5142,1138,124,Business,1119700,15.07,120,2025-12-29,2035-11-07,Active
9097,5145,2438,120,Home,443800,7.14,24,2025-11-25,2027-11-15,Active
9098,5146,3288,122,Home,265300,11.73,12,2025-04-02,2026-03-28,Default
9099,5148,3929,115,Business,486800,11.93,84,2025-07-04,2032-05-28,Default
9100,5149,4084,120,Auto,594800,12.54,48,2025-05-19,2029-04-28,Closed
9101,5150,1387,123,Business,421700,8.91,12,2025-03-13,2026-03-08,Active
9102,5152,5691,123,Personal,604100,11.03,24,2024-05-20,2026-05-10,Active
9103,5154,1036,150,Home,195500,10.51,24,2025-04-05,2027-03-26,Closed
9104,5157,4538,132,Home,281300,10.47,36,2024-05-18,2027-05-03,Closed
9105,5160,3369,110,Personal,633700,9.84,180,2024-05-25,2039-03-08,Active
9106,5161,5819,142,Auto,344300,15.02,36,2023-07-24,2026-07-08,Default
9107,5165,4939,130,Education,615300,12.54,36,2025-03-06,2028-02-19,Closed
9108,5166,2485,119,Personal,556700,13.46,48,2025-09-16,2029-08-26,Closed
9109,5168,1323,142,Business,149800,9.73,120,2023-03-25,2033-01-31,Active
9110,5169,2161,131,Home,459900,7.01,24,2024-06-22,2026-06-12,Closed
9111,5170,3952,144,Home,533300,15.09,180,2025-06-19,2040-04-01,Active
9112,5172,2974,120,Personal,504200,14.45,36,2025-09-02,2028-08-17,Active
9113,5174,4070,104,Personal,384300,10.89,12,2023-05-16,2024-05-10,Active
9114,5175,2825,120,Home,493400,10.28,240,2025-10-06,2045-06-23,Closed
9115,5176,3967,109,Auto,1457600,10.78,24,2023-09-10,2025-08-30,Active
9116,5179,3406,144,Personal,100800,9.29,60,2024-09-27,2029-09-01,Default
9117,5182,2984,126,Personal,421200,12.23,36,2024-05-10,2027-04-25,Active
9118,5184,1683,119,Personal,208700,15.28,240,2024-03-19,2043-12-05,Closed
9119,5187,4070,127,Home,509200,7.57,24,2023-11-27,2025-11-16,Closed
9120,5188,4968,139,Auto,322200,13.71,60,2023-11-08,2028-10-12,Active
9121,5191,4017,119,Business,1143400,7.5,60,2024-04-24,2029-03-29,Active
9122,5192,3529,132,Business,291000,14.3,48,2024-07-13,2028-06-22,Closed
9123,5193,1646,147,Business,471700,8.24,48,2024-02-27,2028-02-06,Closed
9124,5194,5289,110,Home,191400,11.2,120,2023-04-24,2033-03-02,Active
9125,5195,1500,136,Personal,40200,11.32,36,2025-11-06,2028-10-21,Active
9126,5198,3317,124,Personal,486500,12.36,84,2024-04-11,2031-03-06,Closed
9127,5199,5671,137,Business,1729900,12.14,120,2023-06-26,2033-05-04,Default
9128,5200,3039,136,Auto,541200,12.97,24,2025-02-21,2027-02-11,Closed
9129,5201,1317,141,Business,813100,14.21,180,2023-12-15,2038-09-27,Default
9130,5202,3648,119,Personal,2720100,7.31,84,2023-03-16,2030-02-07,Default
9131,5204,5292,141,Personal,223600,13.27,180,2024-05-05,2039-02-16,Closed
9132,5205,5474,124,Auto,255200,7.44,48,2024-11-14,2028-10-24,Active
9133,5206,3166,114,Personal,163000,13.75,180,2025-08-05,2040-05-18,Closed
