payment_id,loan_id,payment_date,due_date,payment_amount,payment_status,days_late
70001,9001,2024-02-13,2024-02-13,1300,On-Time,0
70002,9001,2024-03-14,2024-03-14,1400,On-Time,0
70003,9001,2024-04-19,2024-04-13,1300,Late,6
70004,9001,2024-05-29,2024-05-13,1300,Late,16
70005,9001,2024-06-12,2024-06-12,1400,On-Time,0
70006,9001,2024-07-20,2024-07-12,1300,Late,8
70007,9001,2024-08-11,2024-08-11,1300,On-Time,0
70008,9001,2024-09-10,2024-09-10,1200,On-Time,0
70009,9001,2024-10-15,2024-10-10,1200,Late,5
70010,9001,2024-11-09,2024-11-09,1300,On-Time,0
70011,9001,2024-12-09,2024-12-09,1400,On-Time,0
70012,9001,2025-01-08,2025-01-08,1400,On-Time,0
70013,9002,2025-01-25,2025-01-25,2400,On-Time,0
70014,9002,2025-02-24,2025-02-24,2700,On-Time,0
70015,9002,2025-03-26,2025-03-26,2900,On-Time,0
70016,9002,2025-04-25,2025-04-25,2800,On-Time,0
70017,9002,2025-05-25,2025-05-25,2600,On-Time,0
70018,9002,2025-06-24,2025-06-24,2800,On-Time,0
70019,9002,2025-07-25,2025-07-24,2500,Late,1
70020,9002,2025-08-23,2025-08-23,2500,On-Time,0
70021,9002,2025-09-22,2025-09-22,2700,On-Time,0
70022,9002,2025-10-22,2025-10-22,2500,On-Time,0
70023,9002,2025-11-21,2025-11-21,2400,On-Time,0
70024,9002,2026-01-04,2025-12-21,2900,Late,14
70025,9003,2024-01-10,2024-01-10,11200,On-Time,0
70026,9003,2024-02-09,2024-02-09,11600,On-Time,0
70027,9003,2024-03-10,2024-03-10,11700,On-Time,0
70028,9003,2024-04-09,2024-04-09,12900,On-Time,0
70029,9003,2024-05-09,2024-05-09,12100,On-Time,0
70030,9003,2024-06-08,2024-06-08,12300,On-Time,0
70031,9003,2024-07-28,2024-07-08,13100,Late,20
70032,9003,2024-08-07,2024-08-07,11900,On-Time,0
70033,9003,2024-09-06,2024-09-06,12300,On-Time,0
70034,9003,2024-10-06,2024-10-06,12500,On-Time,0
70035,9003,2024-11-05,2024-11-05,11600,On-Time,0
70036,9003,2024-12-22,2024-12-05,11500,Late,17
70037,9004,2024-05-23,2024-05-23,17100,On-Time,0
70038,9004,2024-06-22,2024-06-22,16400,On-Time,0
70039,9004,2024-07-22,2024-07-22,16500,On-Time,0
70040,9004,2024-08-21,2024-08-21,14800,On-Time,0
70041,9004,2024-09-20,2024-09-20,15800,On-Time,0
70042,9004,2024-10-20,2024-10-20,14800,On-Time,0
70043,9004,2024-11-19,2024-11-19,15400,On-Time,0
70044,9004,2024-12-31,2024-12-19,17200,Late,12
70045,9004,2025-01-18,2025-01-18,14600,On-Time,0
70046,9004,2025-02-17,2025-02-17,17200,On-Time,0
70047,9004,2025-03-19,2025-03-19,14800,On-Time,0
70048,9004,2025-04-18,2025-04-18,16100,On-Time,0
70049,9005,2025-02-26,2025-02-26,2800,On-Time,0
70050,9005,2025-03-28,2025-03-28,2700,On-Time,0
70051,9005,2025-05-02,2025-04-27,2800,Late,5
70052,9005,2025-05-27,2025-05-27,2700,On-Time,0
70053,9005,2025-07-12,2025-06-26,2500,Late,16
70054,9005,2025-07-26,2025-07-26,2800,On-Time,0
70055,9005,2025-08-25,2025-08-25,2800,On-Time,0
70056,9005,2025-10-05,2025-09-24,2900,Late,11
70057,9005,2025-10-24,2025-10-24,2800,On-Time,0
70058,9005,2025-11-30,2025-11-23,2600,Late,7
70059,9005,2025-12-23,2025-12-23,2600,On-Time,0
70060,9006,2024-02-18,2024-02-18,8600,On-Time,0
70061,9006,2024-03-19,2024-03-19,7800,On-Time,0
70062,9006,2024-04-18,2024-04-18,8100,On-Time,0
70063,9006,2024-05-18,2024-05-18,8200,On-Time,0
70064,9006,2024-06-17,2024-06-17,8700,On-Time,0
70065,9006,2024-07-23,2024-07-17,8700,Late,6
70066,9006,2024-08-29,2024-08-16,7900,Late,13
70067,9006,2024-09-15,2024-09-15,7400,On-Time,0
70068,9006,2024-10-15,2024-10-15,7500,On-Time,0
70069,9006,2024-11-26,2024-11-14,0,Missed,12
70070,9006,2024-12-14,2024-12-14,8800,On-Time,0
70071,9006,2025-01-15,2025-01-13,0,Missed,2
70072,9007,2024-02-23,2024-02-23,26900,On-Time,0
70073,9007,2024-04-01,2024-03-24,23800,Late,8
70074,9007,2024-04-23,2024-04-23,24600,On-Time,0
70075,9007,2024-05-23,2024-05-23,26600,On-Time,0
70076,9007,2024-06-27,2024-06-22,0,Missed,5
70077,9007,2024-07-22,2024-07-22,22400,On-Time,0
70078,9007,2024-08-28,2024-08-21,23900,Late,7
70079,9007,2024-09-20,2024-09-20,23200,On-Time,0
70080,9007,2024-10-20,2024-10-20,26700,On-Time,0
70081,9007,2024-11-19,2024-11-19,25400,On-Time,0
70082,9007,2024-12-19,2024-12-19,24200,On-Time,0
70083,9007,2025-01-18,2025-01-18,22500,On-Time,0
70084,9008,2025-04-03,2025-04-03,43600,On-Time,0
70085,9008,2025-05-05,2025-05-03,0,Missed,2
70086,9008,2025-06-02,2025-06-02,43000,On-Time,0
70087,9008,2025-07-02,2025-07-02,37000,On-Time,0
70088,9008,2025-08-01,2025-08-01,39600,On-Time,0
70089,9008,2025-09-04,2025-08-31,0,Missed,4
70090,9008,2025-09-30,2025-09-30,39000,On-Time,0
70091,9008,2025-10-30,2025-10-30,41100,On-Time,0
70092,9008,2025-12-07,2025-11-29,0,Missed,8
70093,9008,2026-01-12,2025-12-29,41400,Late,14
70094,9009,2024-06-07,2024-06-07,1000,On-Time,0
70095,9009,2024-07-20,2024-07-07,1000,Late,13
70096,9009,2024-08-06,2024-08-06,1000,On-Time,0
70097,9009,2024-09-10,2024-09-05,0,Missed,5
70098,9009,2024-10-05,2024-10-05,1000,On-Time,0
70099,9009,2024-11-04,2024-11-04,1000,On-Time,0
70100,9009,2024-12-04,2024-12-04,1000,On-Time,0
70101,9009,2025-01-03,2025-01-03,1000,On-Time,0
70102,9009,2025-02-02,2025-02-02,1000,On-Time,0
70103,9009,2025-03-04,2025-03-04,1000,On-Time,0
70104,9009,2025-04-03,2025-04-03,1000,On-Time,0
70105,9009,2025-05-03,2025-05-03,1000,On-Time,0
70106,9010,2025-12-18,2025-12-18,16700,On-Time,0
70107,9011,2024-08-18,2024-08-18,1400,On-Time,0
70108,9011,2024-09-17,2024-09-17,1400,On-Time,0
70109,9011,2024-10-17,2024-10-17,1400,On-Time,0
70110,9011,2024-11-16,2024-11-16,1400,On-Time,0
70111,9011,2024-12-26,2024-12-16,0,Missed,10
70112,9011,2025-01-15,2025-01-15,1300,On-Time,0
70113,9011,2025-02-14,2025-02-14,1300,On-Time,0
70114,9011,2025-03-16,2025-03-16,1300,On-Time,0
70115,9011,2025-04-15,2025-04-15,1400,On-Time,0
70116,9011,2025-05-19,2025-05-15,1300,Late,4
70117,9011,2025-06-22,2025-06-14,1400,Late,8
70118,9011,2025-07-14,2025-07-14,1200,On-Time,0
70119,9012,2023-11-14,2023-11-14,25400,On-Time,0
70120,9012,2023-12-14,2023-12-14,26300,On-Time,0
70121,9012,2024-01-13,2024-01-13,25200,On-Time,0
70122,9012,2024-02-12,2024-02-12,24100,On-Time,0
